iter	Passed	Remaining
0	111	446598
1	434	868106
2	942	1255930
3	1302	1300951
4	1509	1206417
5	1897	1263030
6	2099	1197612
7	2311	1153421
8	2425	1075463
9	2756	1099961
10	2946	1068651
11	3121	1037256
12	3366	1032383
13	3477	990234
14	3679	977610
15	3794	944834
16	3904	914766
17	4017	888799
18	4214	883104
19	4344	864646
20	4458	844801
21	4769	862464
22	5072	877071
23	5246	869216
24	5426	862794
25	5667	866273
26	5848	860549
27	6049	858212
28	6314	864670
29	6428	850754
30	6760	865545
31	6872	852134
32	7064	849215
33	7299	851518
34	7385	836627
35	7606	837525
36	7735	828484
37	7912	825003
38	8078	820458
39	8265	818262
40	8392	810389
41	8624	812788
42	8733	803660
43	8838	794695
44	8955	787118
45	9162	787575
46	9286	781014
47	9400	773992
48	9760	786997
49	9888	781152
50	10156	786440
51	10277	780278
52	10445	777909
53	10678	780350
54	10864	779280
55	10961	772031
56	11074	766096
57	11244	764240
58	11425	763206
59	11635	764046
60	11825	763629
61	12021	763539
62	12316	769671
63	12622	776289
64	12923	782369
65	13046	777640
66	13175	773428
67	13360	772555
68	13472	767556
69	13687	768435
70	13874	767808
71	13987	763087
72	14096	758301
73	14275	757387
74	14388	753022
75	14518	749592
76	14746	751302
77	14849	746676
78	15113	750117
79	15259	747716
80	15370	743649
81	15495	740381
82	15701	740982
83	15836	738276
84	16128	742876
85	16257	739907
86	16371	736331
87	16499	733461
88	16716	734580
89	16829	731141
90	16951	728155
91	17063	724813
92	17248	724628
93	17425	724080
94	17764	730200
95	17886	727377
96	18095	728117
97	18199	724631
98	18308	721419
99	18413	718124
100	18532	715428
101	18823	719366
102	18927	716117
103	19105	715727
104	19288	715509
105	19517	716992
106	19756	718805
107	19871	716099
108	19994	713762
109	20112	711241
110	20219	708395
111	20326	705624
112	20434	702926
113	20558	700776
114	20695	699156
115	20856	698328
116	20962	695710
117	21067	693101
118	21174	690584
119	21348	690267
120	21466	688171
121	21902	696225
122	22015	693923
123	22222	694635
124	22423	695131
125	22736	699051
126	23015	701876
127	23227	702632
128	23338	700340
129	23554	701185
130	23681	699404
131	23787	697048
132	23987	697440
133	24108	695544
134	24216	693297
135	24321	691004
136	24422	688655
137	24637	689480
138	24753	687585
139	24856	685322
140	24963	683208
141	25074	681252
142	25255	681197
143	25436	681143
144	25675	682606
145	25783	680612
146	25890	678601
147	26000	676724
148	26201	677190
149	26421	678156
150	26716	680993
151	26822	679029
152	26928	677086
153	27037	675233
154	27805	689755
155	28134	693268
156	28248	691458
157	28299	688151
158	28424	686654
159	28666	687997
160	28783	686333
161	28920	685166
162	29294	689579
163	29445	688743
164	29564	687142
165	29677	685450
166	29786	683663
167	29957	683322
168	30116	682706
169	30749	692767
170	30946	692946
171	31058	691242
172	31214	690506
173	31320	688683
174	31717	693263
175	31836	691721
176	31937	689821
177	32042	688005
178	32145	686179
179	32248	684382
180	32444	684561
181	32561	683076
182	32667	681386
183	32838	681036
184	32943	679348
185	33070	678131
186	33128	675494
187	33235	673906
188	33332	672123
189	33436	670499
190	33714	672356
191	33845	671260
192	33944	669569
193	34153	670043
194	34253	668373
195	34357	666811
196	34476	665556
197	34587	664157
198	34691	662630
199	34799	661189
200	34907	659765
201	35110	660144
202	35219	658753
203	35331	657439
204	35462	656492
205	35733	658113
206	35842	656764
207	36022	656723
208	36222	657035
209	36333	655741
210	36449	654529
211	36569	653415
212	36613	650971
213	36717	649587
214	36761	647177
215	36864	645811
216	36967	644453
217	37077	643248
218	37182	641955
219	37360	641928
220	37468	640694
221	37771	642791
222	37897	641871
223	38000	640576
224	38103	639297
225	38193	637802
226	38303	636643
227	38414	635520
